"code","id","account_type","chart_template_id/id","name","note","reconcile"
"570","bs_fbih_570","expense","l10n_bs.l10n_bs_fbih_chart_template","Gubici od prodaje i rashodovanja stalnih sredstava",,
"571","bs_fbih_571","expense","l10n_bs.l10n_bs_fbih_chart_template","Gubici od prodaje i rashodovanja investicijskih nekretnina",,
"572","bs_fbih_572","expense","l10n_bs.l10n_bs_fbih_chart_template","Gubici od prodaje i rashodovanja bioloških sredstava",,
"573","bs_fbih_573","expense","l10n_bs.l10n_bs_fbih_chart_template","Gubici od prodaje sredstava namijenjenih prodaji i obustavljenog poslovanja",,
"574","bs_fbih_574","expense","l10n_bs.l10n_bs_fbih_chart_template","Gubici od prodaje učešća u kapitalu i vrijednosnih papira",,
"575","bs_fbih_575","expense","l10n_bs.l10n_bs_fbih_chart_template","Gubici od prodaje materijala",,
"576","bs_fbih_576","expense","l10n_bs.l10n_bs_fbih_chart_template","Manjkovi",,
"577","bs_fbih_577","expense","l10n_bs.l10n_bs_fbih_chart_template","Rashodi iz osnova zaštite od rizika koji ne ispunjavaju uslove da budu iskazani u okviru revalorizacionih rezervi",,
"578","bs_fbih_578","expense","l10n_bs.l10n_bs_fbih_chart_template","Rashodi po osnovu ispravke vrijednosti i otpisa potraživanja",,
"579","bs_fbih_579","expense","l10n_bs.l10n_bs_fbih_chart_template","Rashodovanja i gubici na zalihama materijala i robe i ostali rashodi",,
"580","bs_fbih_580","expense","l10n_bs.l10n_bs_fbih_chart_template","Umanjenje vrijednosti nematerijalnih sredstava",,
"581","bs_fbih_581","expense","l10n_bs.l10n_bs_fbih_chart_template","Umanjenje vrijednosti materijalnih stalnih sredstava",,
"582","bs_fbih_582","expense","l10n_bs.l10n_bs_fbih_chart_template","Umanjenje vrijednosti investicijskih nekretnina za koje se obračunava amortizacija",,
"583","bs_fbih_583","expense","l10n_bs.l10n_bs_fbih_chart_template","Umanjenje vrijednosti bioloških sredstava za koja se obračunava amortizacija",,
"584","bs_fbih_584","expense","l10n_bs.l10n_bs_fbih_chart_template","Umanjenje vrijednosti dugoročnih finansijskih plasmana i finansijskih sredstava raspoloživih za prodaju",,
"585","bs_fbih_585","expense","l10n_bs.l10n_bs_fbih_chart_template","Umanjenje vrijednosti zaliha",,
"586","bs_fbih_586","expense","l10n_bs.l10n_bs_fbih_chart_template","Umanjenje vrijednosti kratkoročnih finansijskih plasmana",,
